
-133.108,-50.896,blue
-130.997,-47.948,blue
-109.257,-23.642,blue
-68.807,18.122,blue
-72.276,17.534,blue
-75.457,15.892,blue
-78.087,13.155,blue
-80.18,10.038,blue
-82.107,6.963,blue
-83.951,3.831,blue
-85.731,0.674,blue
-87.445,-2.544,blue
-89.043,-5.829,blue
-107.196,-20.566,blue
-90.519,-9.284,blue
-91.353,-12.91,blue
-91.2,-16.432,blue
-90.098,-19.759,blue
-87.955,-22.879,blue
-85.009,-25.263,blue
-81.624,-26.802,blue
-77.971,-27.529,blue
-74.304,-27.343,blue
-70.673,-26.672,blue
-105.337,-17.361,blue
-67.158,-26.012,blue
-63.634,-25.371,blue
-60.109,-24.749,blue
-56.602,-24.183,blue
-53.114,-23.734,blue
-49.363,-23.469,blue
-45.732,-23.611,blue
-42.194,-24.335,blue
-38.78,-25.598,blue
-35.526,-27.32,blue
-103.684,-14.059,blue
-32.612,-29.433,blue
-29.887,-32.007,blue
-27.549,-34.748,blue
-27.397,-38.371,blue
-30.937,-39.678,blue
-34.497,-39.721,blue
-38.058,-40.029,blue
-41.604,-40.257,blue
-45.209,-40.468,blue
-48.825,-40.737,blue
-102.198,-10.727,blue
-52.427,-41.076,blue
-56.019,-41.449,blue
-59.63,-41.899,blue
-63.217,-42.438,blue
-66.786,-43.034,blue
-70.349,-43.69,blue
-73.897,-44.403,blue
-77.423,-45.152,blue
-80.932,-45.911,blue
-84.437,-46.656,blue
-100.788,-7.417,blue
-87.945,-47.381,blue
-91.458,-48.09,blue
-94.968,-48.775,blue
-98.478,-49.418,blue
-101.991,-50.007,blue
-105.509,-50.528,blue
-109.024,-50.965,blue
-112.537,-51.281,blue
-116.042,-51.449,blue
-119.578,-51.48,blue
-99.362,-4.142,blue
-123.159,-51.424,blue
-126.736,-51.108,blue
-130.377,-50.864,blue
-133.108,-50.896,blue
-97.914,-0.85,blue
-96.474,2.432,blue
-95.011,5.694,blue
-128.48,-45.368,blue
-93.516,8.933,blue
-91.962,12.114,blue
-90.312,15.258,blue
-88.598,18.378,blue
-86.82,21.452,blue
-84.978,24.526,blue
-83.131,27.586,blue
-81.236,30.588,blue
-79.279,33.59,blue
-77.313,36.582,blue
-125.963,-42.765,blue
-75.319,39.538,blue
-73.282,42.47,blue
-71.211,45.381,blue
-69.103,48.376,blue
-67.223,51.627,blue
-65.151,54.622,blue
-61.751,55.766,blue
-58.352,54.772,blue
-54.732,53.96,blue
-51.307,53.181,blue
-123.474,-40.098,blue
-47.824,52.308,blue
-44.335,51.438,blue
-40.858,50.573,blue
-37.396,49.674,blue
-33.896,48.775,blue
-30.419,47.908,blue
-26.958,47.008,blue
-23.479,46.094,blue
-19.989,45.195,blue
-16.486,44.325,blue
-121.036,-37.467,blue
-12.987,43.49,blue
-9.52,42.635,blue
-6.019,41.764,blue
-2.517,40.93,blue
0.973,40.095,blue
4.47,39.261,blue
7.946,38.42,blue
11.424,37.548,blue
14.912,36.677,blue
18.38,35.8,blue
-118.599,-34.817,blue
21.824,34.884,blue
25.218,33.893,blue
28.798,32.675,blue
32.234,31.234,blue
34.863,28.719,blue
35.53,25.171,blue
34.806,21.667,blue
33.9,18.185,blue
32.976,14.744,blue
31.974,11.364,blue
-116.179,-32.125,blue
30.862,7.99,blue
29.487,4.722,blue
26.642,2.617,blue
23.195,1.945,blue
19.427,1.834,blue
15.837,1.761,blue
12.276,1.742,blue
8.68,1.751,blue
5.091,1.75,blue
1.496,1.757,blue
-113.803,-29.385,blue
-2.117,1.725,blue
-5.684,1.708,blue
-9.278,1.716,blue
-12.872,1.715,blue
-16.462,1.714,blue
-20.054,1.715,blue
-23.648,1.714,blue
-27.236,1.713,blue
-30.814,1.731,blue
-34.379,1.789,blue
-111.482,-26.576,blue
-37.944,1.9,blue
-41.652,2.176,blue
-45.062,3.047,blue
-48.431,4.531,blue
-51.457,6.432,blue
-54.139,8.876,blue
-56.48,11.507,blue
-58.91,14.037,blue
-61.832,16.196,blue
-65.287,17.667,blue
0,-1.75,orange
0,1.75,orange
0.015,-1.75,yellow
-3.58,-1.789,yellow
-35.967,-1.67,yellow
-105.061,-8.523,yellow
-103.65,-5.212,yellow
-102.202,-1.908,yellow
-100.761,1.376,yellow
-99.308,4.674,yellow
-97.823,7.963,yellow
-96.293,11.245,yellow
-94.668,14.508,yellow
-92.964,17.712,yellow
-91.202,20.882,yellow
-39.607,-1.528,yellow
-89.367,24.014,yellow
-87.517,27.097,yellow
-85.638,30.188,yellow
-83.683,33.247,yellow
-81.717,36.257,yellow
-79.728,39.269,yellow
-77.694,42.261,yellow
-75.625,45.221,yellow
-73.525,48.156,yellow
-71.418,51.261,yellow
