color,x,z
blue,16.92786560413816,-51.06488154540075
blue,17.041999999999998,-44.427
blue,17.041999999999998,-38.427
blue,17.041999999999998,-32.427
blue,17.041999999999998,-26.427
blue,17.042,-20.427
blue,17.042,-14.427
blue,17.042,-8.427
blue,17.042,-2.4269999999999996
blue,17.042,3.5730000000000004
blue,17.042,9.573
blue,17.042,15.573
blue,17.042,21.573
blue,17.042,27.573
blue,17.042,33.573
blue,17.042000000000005,39.573
blue,17.042000000000005,45.573
blue,16.948417908412857,50.81539283822197
blue,14.395146685791914,55.30204157091821
blue,8.425999999999998,57.043
blue,2.4259999999999984,57.043
blue,-3.5740000000000016,57.043
blue,-9.333892715305309,57.048768478350596
blue,-14.221979750922973,55.44160175569832
blue,-16.92818632608487,51.06253866847799
blue,-17.042000000000005,44.425999999999995
blue,-17.042000000000005,38.425999999999995
blue,-17.042000000000005,32.425999999999995
blue,-17.042000000000005,26.425999999999995
blue,-17.042000000000005,20.425999999999995
blue,-17.042000000000005,14.425999999999995
blue,-17.042000000000005,8.426000000000002
blue,-17.042000000000005,2.426000000000002
blue,-17.042000000000005,-3.573999999999998
blue,-17.042000000000005,-9.573999999999998
blue,-17.042000000000005,-15.573999999999998
blue,-17.042000000000005,-21.573999999999998
blue,-17.042000000000005,-27.573999999999998
blue,-17.042000000000005,-33.574
blue,-17.042000000000005,-39.574
blue,-17.042000000000005,-45.5741
blue,-16.948325740413548,-50.820919505854775
blue,-14.405825341149619,-55.297735459478766
blue,-8.427000000000003,-57.043
blue,-2.427000000000003,-57.043
blue,3.572999999999997,-57.043
blue,9.320917141872037,-57.049358619940946
blue,14.217931831824089,-55.44473862138871
yellow,26.85499439586184,-52.26991845459925
yellow,27.041999999999998,-46.427
yellow,27.041999999999998,-40.427
yellow,27.041999999999998,-34.427
yellow,27.041999999999998,-28.427
yellow,27.041999999999998,-22.427000000000007
yellow,27.042,-16.427
yellow,27.042,-10.427
yellow,27.042,-4.427
yellow,27.042,1.5730000000000004
yellow,27.042,7.573
yellow,27.042,13.573
yellow,27.042,19.573
yellow,27.042,25.573
yellow,27.042,31.573
yellow,27.042000000000005,37.573
yellow,27.042000000000005,43.573
yellow,27.03577205123274,49.82248086164434
yellow,26.18349640818693,54.96946058185397
yellow,23.832151842145542,59.66807503336412
yellow,20.22905331420808,63.4239584290818
yellow,15.633640153362574,65.97270716373677
yellow,10.425999999999998,67.043
yellow,4.425999999999998,67.043
yellow,-1.5740000000000016,67.043
yellow,-7.574000000000002,67.043
yellow,-13.296951989988406,66.63681245121276
yellow,-18.17181816006092,64.78089436994601
yellow,-22.30090856013574,61.54891984420405
yellow,-25.278091259474607,57.25483030029126
yellow,-26.85581367391513,52.26346133152202
yellow,-27.042000000000005,46.425999999999995
yellow,-27.042000000000005,40.425999999999995
yellow,-27.042000000000005,34.425999999999995
yellow,-27.042000000000005,28.425999999999995
yellow,-27.042000000000005,22.425999999999995
yellow,-27.042000000000005,16.425999999999995
yellow,-27.042000000000005,10.426000000000002
yellow,-27.042000000000005,4.426000000000002
yellow,-27.042000000000005,-1.573999999999998
yellow,-27.042000000000005,-7.573999999999998
yellow,-27.042000000000005,-13.573999999999998
yellow,-27.042000000000005,-19.573999999999998
yellow,-27.042000000000005,-25.573999999999998
yellow,-27.042000000000005,-31.573999999999998
yellow,-27.042000000000005,-37.574
yellow,-27.042000000000005,-43.5741
yellow,-27.035840480892496,-49.82220733846349
yellow,-26.18142273584746,-54.98105640363187
yellow,-23.83975698806843,-59.657587366019634
yellow,-20.22017465885038,-63.43366454052124
yellow,-15.64833699381754,-65.97001440270968
yellow,-10.427000000000003,-67.043
yellow,-4.427000000000003,-67.043
yellow,1.5729999999999968,-67.043
yellow,7.572999999999999,-67.043
yellow,13.297036480461031,-66.63771401047146
yellow,18.180758315784974,-64.77487304969264
yellow,22.296755789912936,-61.55145452685865
yellow,25.27716144192971,-57.25526737983245
